"speaker","word","target_child_age_months","speech_act","corpus_id","target_child_id","count","total","rel_freq","ppt"
"child","and",24,"other",46,3291,2,60,0.0333333333333333,33.3333333333333
"child","and",24,"other",51,3764,2,58,0.0344827586206897,34.4827586206897
"child","and",24,"other",51,3774,2,31,0.0645161290322581,64.5161290322581
"child","and",24,"other",78,5241,2,9,0.222222222222222,222.222222222222
"child","and",24,"other",181,14346,1,3,0.333333333333333,333.333333333333
"child","and",24,"other",182,14375,2,916,0.00218340611353712,2.18340611353712
"child","and",24,"other",187,14982,2,16,0.125,125
"child","and",24,"other",187,15033,1,12,0.0833333333333333,83.3333333333333
"child","and",24,"other",189,15058,42,935,0.0449197860962567,44.9197860962567
"child","and",24,"other",189,15091,5,585,0.00854700854700855,8.54700854700855
"child","and",24,"question",38,3088,5,367,0.0136239782016349,13.6239782016349
"child","and",24,"question",39,3136,3,94,0.0319148936170213,31.9148936170213
"child","and",24,"question",46,3291,10,2984,0.00335120643431635,3.35120643431635
"child","and",24,"question",51,3764,2,254,0.0078740157480315,7.8740157480315
"child","and",24,"question",51,3774,1,60,0.0166666666666667,16.6666666666667
"child","and",24,"question",51,3789,1,581,0.00172117039586919,1.72117039586919
"child","and",24,"question",51,3801,2,226,0.00884955752212389,8.84955752212389
"child","and",24,"question",57,4084,2,955,0.00209424083769634,2.09424083769634
"child","and",24,"question",58,4155,1,47,0.0212765957446809,21.2765957446809
"child","and",24,"question",181,14346,12,1671,0.00718132854578097,7.18132854578097
"child","and",24,"question",187,14970,2,253,0.00790513833992095,7.90513833992095
"child","and",24,"question",187,14982,3,315,0.00952380952380952,9.52380952380953
"child","and",24,"question",187,15014,1,236,0.00423728813559322,4.23728813559322
"child","and",24,"question",189,15058,8,2956,0.0027063599458728,2.7063599458728
"child","and",24,"question",189,15091,9,9839,0.000914727106413253,0.914727106413253
"child","and",25,"declarative",33,2727,2,1446,0.00138312586445367,1.38312586445367
"child","and",25,"declarative",38,3088,95,4031,0.0235673530141404,23.5673530141404
"child","and",25,"declarative",39,3136,87,1685,0.0516320474777448,51.6320474777448
"child","and",25,"declarative",41,3141,3,738,0.0040650406504065,4.0650406504065
"child","and",25,"declarative",46,3291,1,529,0.00189035916824197,1.89035916824197
"child","and",25,"declarative",48,3379,4,1001,0.003996003996004,3.996003996004
"child","and",25,"declarative",51,3748,3,1041,0.00288184438040346,2.88184438040346
"child","and",25,"declarative",51,3764,9,1140,0.00789473684210526,7.89473684210526
"child","and",25,"declarative",51,3774,136,4376,0.0310786106032907,31.0786106032907
"child","and",25,"declarative",51,3789,70,6024,0.0116201859229748,11.6201859229748
"child","and",25,"declarative",51,3801,43,2065,0.0208232445520581,20.8232445520581
"child","and",25,"declarative",51,3810,1,1139,0.000877963125548727,0.877963125548727
"child","and",25,"declarative",57,4084,34,2384,0.014261744966443,14.261744966443
"child","and",25,"declarative",64,4709,17,2232,0.00761648745519713,7.61648745519713
"child","and",25,"declarative",65,4722,4,488,0.00819672131147541,8.19672131147541
"child","and",25,"declarative",65,4726,1,511,0.00195694716242661,1.95694716242661
"child","and",25,"declarative",66,4778,3,732,0.00409836065573771,4.09836065573771
"child","and",25,"declarative",69,5054,23,5853,0.00392960874765078,3.92960874765078
"child","and",25,"declarative",71,5080,25,1638,0.0152625152625153,15.2625152625153
"child","and",25,"declarative",75,5193,6,1455,0.00412371134020619,4.12371134020619
"child","and",25,"declarative",75,5204,7,2765,0.00253164556962025,2.53164556962025
"child","and",25,"declarative",78,5241,19,6839,0.0027781839450212,2.7781839450212
"child","and",25,"declarative",181,14346,18,15452,0.00116489774786435,1.16489774786435
"child","and",25,"declarative",187,14970,13,3375,0.00385185185185185,3.85185185185185
"child","and",25,"declarative",187,14975,7,4987,0.00140364948867054,1.40364948867054
"child","and",25,"declarative",187,14978,1,2744,0.000364431486880466,0.364431486880466
"child","and",25,"declarative",187,14982,95,3971,0.0239234449760766,23.9234449760766
"child","and",25,"declarative",187,14990,2,2620,0.000763358778625954,0.763358778625954
"child","and",25,"declarative",187,14996,6,1691,0.00354819633353046,3.54819633353046
