"speaker","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"child","other",15,"declarative",8177,8180,0.999633251833741,999.633251833741
"child","other",15,"imperative",132,132,1,1000
"child","other",15,"other",839,839,1,1000
"child","other",15,"question",80,80,1,1000
"child","other",16,"declarative",11461,11466,0.999563928135357,999.563928135357
"child","other",16,"imperative",261,261,1,1000
"child","other",16,"other",365,365,1,1000
"child","other",16,"question",507,507,1,1000
"child","other",17,"declarative",13568,13579,0.999189925620443,999.189925620443
"child","other",17,"imperative",273,273,1,1000
"child","other",17,"other",940,944,0.995762711864407,995.762711864407
"child","other",17,"question",861,865,0.995375722543353,995.375722543353
"child","other",18,"declarative",22049,22103,0.997556892729494,997.556892729494
"child","other",18,"imperative",313,313,1,1000
"child","other",18,"other",221,221,1,1000
"child","other",18,"question",1432,1433,0.999302163293789,999.302163293789
"child","other",19,"declarative",26630,26668,0.998575071246438,998.575071246438
"child","other",19,"imperative",711,712,0.998595505617977,998.595505617978
"child","other",19,"other",726,730,0.994520547945206,994.520547945206
"child","other",19,"question",2163,2164,0.999537892791128,999.537892791128
"child","other",20,"declarative",29420,29533,0.996173771712999,996.173771712999
"child","other",20,"imperative",1437,1441,0.997224149895906,997.224149895906
"child","other",20,"other",243,258,0.941860465116279,941.860465116279
"child","other",20,"question",4245,4248,0.999293785310734,999.293785310734
"child","other",21,"declarative",40304,40620,0.992220580994584,992.220580994584
"child","other",21,"imperative",885,891,0.993265993265993,993.265993265993
"child","other",21,"other",1038,1063,0.976481655691439,976.481655691439
"child","other",21,"question",5327,5344,0.996818862275449,996.818862275449
"child","other",22,"declarative",41272,41565,0.992950799951883,992.950799951883
"child","other",22,"imperative",541,547,0.989031078610603,989.031078610603
"child","other",22,"other",1043,1067,0.977507029053421,977.507029053421
"child","other",22,"question",6497,6507,0.99846319348394,998.46319348394
"child","other",23,"declarative",65896,66580,0.989726644638029,989.726644638029
"child","other",23,"imperative",1270,1280,0.9921875,992.1875
"child","other",23,"other",962,982,0.979633401221996,979.633401221996
"child","other",23,"question",8813,8829,0.99818779023672,998.18779023672
"child","other",24,"declarative",152871,153899,0.993320294478847,993.320294478847
"child","other",24,"imperative",3916,3927,0.997198879551821,997.198879551821
"child","other",24,"other",3134,3210,0.976323987538941,976.323987538941
"child","other",24,"question",23243,23308,0.997211257937189,997.211257937189
"child","other",25,"declarative",124947,125936,0.99214680472621,992.14680472621
"child","other",25,"imperative",2492,2504,0.995207667731629,995.207667731629
"child","other",25,"other",2651,2708,0.978951255539143,978.951255539143
"child","other",25,"question",14989,15047,0.996145411045391,996.145411045391
"child","other",26,"declarative",129947,131345,0.989356275457764,989.356275457764
